Latitude: 35.9621  Longitude: -84.2916
X & Y on Lambert Conformal Conic: 1353940.26 -566314.67
Tile: 11208
Elevation: 310 meters
All years; all variables; Daymet Software Version 4.0
How to cite: Thornton; M.M.; R. Shrestha; Y. Wei; P.E. Thornton; S. Kao; and B.E. Wilson. 2020. Daymet: Daily Surface Weather Data on a 1-km Grid for North America; Version 4. ORNL DAAC; Oak Ridge; Tennessee; USA.  https://doi.org/10.3334/ORNLDAAC/1840 

year,yday,dayl (s),prcp (mm/day),srad (W/m^2),swe (kg/m^2),tmax (deg c),tmin (deg c),vp (Pa)
2021,333,35096.50,0.00,210.61,0.00,7.32,-2.19,520.09
2021,334,35035.46,0.00,286.23,0.00,15.13,-1.46,549.02
2021,335,34977.01,0.00,270.35,0.00,15.32,0.26,622.16
2021,336,34921.21,0.00,265.74,0.00,20.60,4.91,866.31
2021,337,34868.07,0.00,274.13,0.00,22.40,4.89,865.23
2021,338,34817.63,0.00,229.83,0.00,19.44,6.45,964.06
2021,339,34769.94,1.93,139.66,0.00,15.03,8.05,1075.76
2021,340,34725.01,13.36,167.09,0.00,16.04,3.98,812.09
2021,341,34682.89,0.00,178.62,0.00,6.89,-1.70,539.05
2021,342,34643.59,0.00,220.95,0.00,10.94,-0.29,597.82
2021,343,34607.15,0.00,251.50,0.00,11.83,-1.74,537.42
2021,344,34573.59,5.14,155.09,0.00,14.94,4.60,847.69
2021,345,34542.93,23.02,200.04,0.00,19.97,3.81,802.22
2021,346,34515.20,0.00,230.47,0.00,10.50,-1.29,555.83
2021,347,34490.42,0.00,270.91,0.00,13.56,-2.56,505.84
2021,348,34468.59,0.00,279.07,0.00,16.09,-1.71,539.00
2021,349,34449.75,0.00,271.22,0.00,17.10,0.04,612.51
2021,350,34433.89,10.43,180.66,0.00,20.39,6.13,942.88
2021,351,34421.04,7.55,106.01,0.00,17.94,10.76,1290.95
2021,352,34411.20,18.53,135.26,0.00,18.82,9.43,1181.55
2021,353,34404.38,1.60,144.71,0.00,9.88,3.07,761.09
2021,354,34400.58,0.00,187.04,0.00,7.80,-1.09,564.10
2021,355,34399.81,0.00,193.84,0.00,9.16,-0.08,606.94
2021,356,34402.07,0.00,203.41,0.00,8.73,-1.05,565.70
2021,357,34407.35,0.00,276.99,0.00,12.84,-3.81,460.76
2021,358,34415.66,0.00,255.35,0.00,15.94,1.58,684.39
2021,359,34426.98,0.00,210.79,0.00,20.03,8.98,1146.10
2021,360,34441.31,0.00,224.55,0.00,21.58,9.27,1168.91
2021,361,34458.63,2.00,166.05,0.00,18.79,10.71,1287.01
2021,362,34478.94,11.45,121.06,0.00,21.75,13.82,1579.15
2021,363,34502.22,27.72,87.32,0.00,18.06,12.72,1470.05
2021,364,34528.46,0.00,158.47,0.00,18.83,11.57,1362.46
2021,365,34557.63,0.00,184.02,0.00,17.54,9.22,1164.34
